Filename,Version,BG Th V1,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V2,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V3,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos
F_SPH_OUTR_1_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_SPH_OUTR_10_DT_JSW_B1.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_SPH_OUTR_11_DT_JSW_B1.LOG,1,10,0,10,0,0,2,10,0,10,0,0,3,10,0,10,0,0
F_SPH_OUTR_12_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
F_SPH_OUTR_13_DT_JSW_B1.LOG,1,11,0,11,0,0,2,11,0,11,0,0,3,11,0,11,0,0
F_SPH_OUTR_14_DT_JSW_B1.LOG,1,13,0,13,0,0,2,13,0,13,0,0,3,13,0,13,0,0
F_SPH_OUTR_15_DT_JSW_B1.LOG,1,14,0,14,0,0,2,14,0,14,0,0,3,14,0,14,0,0
F_SPH_OUTR_16_DT_JSW_B1.LOG,1,15,0,15,0,0,2,15,0,15,0,0,3,15,0,15,0,0
F_SPH_OUTR_17_DT_JSW_B1.LOG,1,16,0,16,0,0,2,16,0,16,0,0,3,16,0,16,0,0
F_SPH_OUTR_18_DT_JSW_B1.LOG,1,17,0,17,0,0,2,17,0,17,0,0,3,17,0,17,0,0
F_SPH_OUTR_19_DT_JSW_B1.LOG,1,18,0,18,0,0,2,18,0,18,0,0,3,18,0,18,0,0
F_SPH_OUTR_2_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_SPH_OUTR_20_DT_JSW_B1.LOG,1,19,0,19,0,0,2,19,0,19,0,0,3,19,0,19,0,0
F_SPH_OUTR_21_DT_JSW_B1.LOG,1,20,0,20,0,0,2,20,0,20,0,0,3,20,0,20,0,0
F_SPH_OUTR_22_DT_JSW_B1.LOG,1,21,0,21,0,0,2,21,0,21,0,0,3,21,0,21,0,0
F_SPH_OUTR_23_DT_JSW_B1.LOG,1,22,0,22,0,0,2,22,0,22,0,0,3,22,0,22,0,0
F_SPH_OUTR_24_DT_JSW_B1.LOG,1,23,0,23,0,0,2,23,0,23,0,0,3,23,0,23,0,0
F_SPH_OUTR_25_DT_JSW_B1.LOG,1,24,0,24,0,0,2,24,0,24,0,0,3,24,0,24,0,0
F_SPH_OUTR_26_DT_JSW_B1.LOG,1,25,0,25,0,0,2,25,0,25,0,0,3,25,0,25,0,0
F_SPH_OUTR_27_DT_JSW_B1.LOG,1,26,0,26,0,0,2,26,0,26,0,0,3,26,0,26,0,0
F_SPH_OUTR_28_DT_JSW_B1.LOG,1,27,0,27,0,0,2,27,0,27,0,0,3,27,0,27,0,0
F_SPH_OUTR_29_DT_JSW_B1.LOG,1,27,0,27,0,0,2,27,0,27,0,0,3,27,0,27,0,0
F_SPH_OUTR_3_DT_JSW_B1.LOG,1,2,0,2,0,0,2,2,0,2,0,0,3,3,0,3,0,0
F_SPH_OUTR_30_DT_JSW_B1.LOG,1,29,0,29,0,0,2,29,0,29,0,0,3,29,0,29,0,0
F_SPH_OUTR_31_DT_JSW_B1.LOG,1,30,0,30,0,0,2,30,0,30,0,0,3,30,0,30,0,0
F_SPH_OUTR_32_DT_JSW_B1.LOG,1,31,0,31,0,0,2,31,0,31,0,0,3,31,0,31,0,0
F_SPH_OUTR_33_DT_JSW_B1.LOG,1,32,0,32,0,0,2,32,0,32,0,0,3,32,0,32,0,0
F_SPH_OUTR_34_DT_JSW_B1.LOG,1,33,0,33,0,0,2,33,0,33,0,0,3,33,0,33,0,0
F_SPH_OUTR_35_DT_JSW_B1.LOG,1,34,0,34,0,0,2,34,0,34,0,0,3,34,0,34,0,0
F_SPH_OUTR_36_DT_JSW_B1.LOG,1,35,0,35,0,0,2,35,0,35,0,0,3,35,0,35,0,0
F_SPH_OUTR_37_DT_JSW_B1.LOG,1,36,0,36,0,0,2,36,0,36,0,0,3,36,0,36,0,0
F_SPH_OUTR_38_DT_JSW_B1.LOG,1,37,0,37,0,0,2,37,0,37,0,0,3,37,0,37,0,0
F_SPH_OUTR_39_DT_JSW_B1.LOG,1,38,0,38,0,0,2,38,0,38,0,0,3,38,0,38,0,0
F_SPH_OUTR_4_DT_JSW_B1.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
F_SPH_OUTR_40_DT_JSW_B1.LOG,1,39,0,39,0,0,2,39,0,39,0,0,3,39,0,39,0,0
F_SPH_OUTR_41_DT_JSW_B1.LOG,1,40,0,40,0,0,2,40,0,40,0,0,3,40,0,40,0,0
F_SPH_OUTR_42_DT_JSW_B1.LOG,1,41,0,41,0,0,2,41,0,41,0,0,3,41,0,41,0,0
F_SPH_OUTR_43_DT_JSW_B1.LOG,1,41,0,41,0,0,2,41,0,41,0,0,3,41,0,41,0,0
F_SPH_OUTR_44_DT_JSW_B1.LOG,1,43,0,43,0,0,2,43,0,43,0,0,3,43,0,43,0,0
F_SPH_OUTR_45_DT_JSW_B1.LOG,1,43,0,43,0,0,2,43,0,43,0,0,3,43,0,43,0,0
F_SPH_OUTR_46_DT_JSW_B1.LOG,1,45,0,45,0,0,2,45,0,45,0,0,3,45,0,45,0,0
F_SPH_OUTR_47_DT_JSW_B1.LOG,1,46,0,46,0,0,2,46,0,46,0,0,3,46,0,46,0,0
F_SPH_OUTR_48_DT_JSW_B1.LOG,1,47,0,47,0,0,2,47,0,47,0,0,3,47,0,47,0,0
F_SPH_OUTR_49_DT_JSW_B1.LOG,1,48,0,48,0,0,2,48,0,48,0,0,3,48,0,48,0,0
F_SPH_OUTR_5_DT_JSW_B1.LOG,1,4,0,4,0,0,2,4,0,4,0,0,3,4,0,4,0,0
F_SPH_OUTR_50_DT_JSW_B1.LOG,1,49,0,49,0,0,2,49,0,49,0,0,3,49,0,49,0,0
F_SPH_OUTR_6_DT_JSW_B1.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
F_SPH_OUTR_7_DT_JSW_B1.LOG,1,6,0,6,0,0,2,6,0,6,0,0,3,6,0,6,0,0
F_SPH_OUTR_8_DT_JSW_B1.LOG,1,7,0,7,0,0,2,7,0,7,0,0,3,7,0,7,0,0
F_SPH_OUTR_9_DT_JSW_B1.LOG,1,8,0,8,0,0,2,8,0,8,0,0,3,8,0,8,0,0